"Question ID","Description","Values"
"access_med.access_other","whether the individual accessed medical care at another facility","0: no
1: yes, at another Puerto Rican health facility
2: yes, at a temporary aid center"
"access_med.couldnt_afford","number of days that a member of the household was unable to afford care","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.facility_closed","number of days that a member of the household was unable to get medical care because the healthcare facility was damaged or closed","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.no_911","number of days that a member of the household was unable to get to medical care because 911 was not available","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.no_dialysis","number of days that a member of the household was unable to continue dialysis","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.no_doctors","number of days that a member of the household was unable to get medical care because the doctors were not there","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.no_meds","number of days that a member of the household was unable to get medicines","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.no_resp_mach","number of days that a member of the household was unable to use breathing treatment that required electricity (CPAP, BiPAP or nebulizer)","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.no_transport","number of days that a member of the household was unable to get to medical care because there were no other means of transport","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.ot_reasons","number of days that a member of the household was unable to get medical care because of other reasons","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"access_med.roads_damaged","number of days that a member of the household was unable to get to medical care because the roads were damaged","99: NA
0: 0 days
1: 1 day
2: 2 days
3: 3-7 days
4: 8-30 days
5: >30 days
6: Still don't have it"
"age","integer from 1 to 100 (all ages less than one year are categorized as one year)","integer"
